"Station Name","CALGARY INTL A"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","51.12"
"Longitude","-114.01"
"Elevation","1099.10"
"Climate Identifier","3031092"
"WMO Identifier","71877"
"TC Identifier","YYC"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2018-01-01","2018","01","01","","-1.3","","-30.2","","-15.8","","33.8","","0.0","","0.0","T","0.0","","0.0","T","18","","23","","30",""
"2018-01-02","2018","01","02","","1.7","","-10.6","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"2018-01-03","2018","01","03","","5.5","","-10.4","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","16","","","","<31",""
"2018-01-04","2018","01","04","","2.9","","-12.7","","-4.9","","22.9","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"2018-01-05","2018","01","05","","9.2","","-11.8","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","10","","28","","50",""
"2018-01-06","2018","01","06","","9.2","","-1.5","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","6","","28","","54",""
"2018-01-07","2018","01","07","","4.8","","-6.8","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","6","","28","","41",""
"2018-01-08","2018","01","08","","7.4","","-5.2","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","6","","32","","30",""
"2018-01-09","2018","01","09","","-0.5","","-18.0","","-9.3","","27.3","","0.0","","0.0","","0.2","","0.2","","5","","35","","63",""
"2018-01-10","2018","01","10","","-18.0","","-24.7","","-21.4","","39.4","","0.0","","0.0","","1.7","","1.6","","5","","34","","48",""
"2018-01-11","2018","01","11","","-23.3","","-27.6","","-25.5","","43.5","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"2018-01-12","2018","01","12","","-17.0","","-24.8","","-20.9","","38.9","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"2018-01-13","2018","01","13","","4.1","","-17.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"2018-01-14","2018","01","14","","2.4","","-8.4","","-3.0","","21.0","","0.0","","0.0","","4.4","","2.8","","7","","10","","30",""
"2018-01-15","2018","01","15","","-5.3","","-10.4","","-7.9","","25.9","","0.0","","0.0","","0.8","","0.8","","11","","17","","41",""
"2018-01-16","2018","01","16","","9.6","","-10.7","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","11","","29","","69",""
"2018-01-17","2018","01","17","","5.7","","-3.1","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","10","","28","","46",""
"2018-01-18","2018","01","18","","8.4","","-4.0","","2.2","","15.8","","0.0","","0.0","","0.0","T","0.0","T","6","","29","","63",""
"2018-01-19","2018","01","19","","4.5","","-7.9","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","6","","29","","41",""
"2018-01-20","2018","01","20","","4.9","","-6.4","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","5","","28","","44",""
"2018-01-21","2018","01","21","","3.8","","-7.6","","-1.9","","19.9","","0.0","","0.0","","0.0","","0.0","","5","","28","","30",""
"2018-01-22","2018","01","22","","5.0","","-7.8","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","5","","27","","63",""
"2018-01-23","2018","01","23","","2.5","","-11.1","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"2018-01-24","2018","01","24","","5.4","","-6.7","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"2018-01-25","2018","01","25","","-7.0","E","","M","","M","","M","","M","0.0","","0.0","","0.0","","3","","34","","44",""
"2018-01-26","2018","01","26","","-8.3","","-14.0","","-11.2","","29.2","","0.0","","0.0","","0.0","","0.0","","3","","32","","33",""
"2018-01-27","2018","01","27","","-13.9","","-18.1","","-16.0","","34.0","","0.0","","0.0","","2.0","","2.0","","3","","18","","39",""
"2018-01-28","2018","01","28","","-14.8","","-19.1","","-17.0","","35.0","","0.0","","","M","0.3","","0.2","","5","","36","","41",""
"2018-01-29","2018","01","29","","7.9","","-17.1","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","3","","27","","48",""
"2018-01-30","2018","01","30","","7.0","","-5.5","","0.8","","17.2","","0.0","","0.0","","0.2","","0.2","","3","","34","","83",""
"2018-01-31","2018","01","31","","-4.7","","-18.7","","-11.7","","29.7","","0.0","","","M","1.4","","0.7","","3","","3","","39",""
"2018-02-01","2018","02","01","","-12.7","","-19.1","","-15.9","","33.9","","0.0","","0.0","","0.0","T","0.0","T","4","","","","<31",""
"2018-02-02","2018","02","02","","-17.9","","-20.9","","-19.4","","37.4","","0.0","","","M","0.7","","0.4","","4","","","","<31",""
"2018-02-03","2018","02","03","","-18.7","E","","M","","M","","M","","M","","M","7.4","","6.5","","4","","36","","48",""
"2018-02-04","2018","02","04","","-8.2","","-24.5","","-16.4","","34.4","","0.0","","","M","4.4","","3.8","","10","","","","<31",""
"2018-02-05","2018","02","05","","-11.7","","-20.6","","-16.2","","34.2","","0.0","","0.0","","0.0","T","0.0","","14","","35","","33",""
"2018-02-06","2018","02","06","","-10.9","","-20.2","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","14","","35","","39",""
"2018-02-07","2018","02","07","","-8.7","","-15.3","","-12.0","","30.0","","0.0","","0.0","","7.2","","6.2","","14","","","","<31",""
